,Img,Pred,Act,fileName,loss
95,12419128___2020-10-01T10-37-40.111973Z___camera-03.png,0,1,12419128___2020-10-01T10-37-40.111973Z___camera-03.png,0.19120841040460324
96,12419128___2020-10-01T10-37-40.111973Z___camera-05.png,0,1,12419128___2020-10-01T10-37-40.111973Z___camera-05.png,0.14076932009382803
97,12419128___2020-10-01T10-37-40.111973Z___camera-06.png,0,1,12419128___2020-10-01T10-37-40.111973Z___camera-06.png,0.15161224540055251
98,12419128___2020-10-01T10-37-40.111973Z___camera-08.png,0,1,12419128___2020-10-01T10-37-40.111973Z___camera-08.png,0.1498385927930008
99,12419128___2020-10-01T10-37-40.111973Z___camera-12.png,0,1,12419128___2020-10-01T10-37-40.111973Z___camera-12.png,0.1638199192885903
100,12419128___2020-10-01T10-37-40.111973Z___camera-13.png,0,1,12419128___2020-10-01T10-37-40.111973Z___camera-13.png,0.13624070530155347
101,12419128___2020-10-01T10-37-40.111973Z___camera-14.png,0,1,12419128___2020-10-01T10-37-40.111973Z___camera-14.png,0.1550271134034134
102,12419128___2020-10-01T10-37-40.111973Z___camera-15.png,0,1,12419128___2020-10-01T10-37-40.111973Z___camera-15.png,0.1350291626296865
103,1260418637___2020-10-01T15-13-48.669997Z___camera-01.png,0,1,1260418637___2020-10-01T15-13-48.669997Z___camera-01.png,0.13547850694365549
104,1260418637___2020-10-01T15-13-48.669997Z___camera-02.png,0,1,1260418637___2020-10-01T15-13-48.669997Z___camera-02.png,0.15690458766353466
105,1260418637___2020-10-01T15-13-48.669997Z___camera-03.png,0,1,1260418637___2020-10-01T15-13-48.669997Z___camera-03.png,0.17899163809656682
106,1260418637___2020-10-01T15-13-48.669997Z___camera-08.png,0,1,1260418637___2020-10-01T15-13-48.669997Z___camera-08.png,0.15228725266598242
107,1260418637___2020-10-01T15-13-48.669997Z___camera-11.png,0,1,1260418637___2020-10-01T15-13-48.669997Z___camera-11.png,0.15952528827086315
108,1260418637___2020-10-01T15-13-48.669997Z___camera-12.png,0,1,1260418637___2020-10-01T15-13-48.669997Z___camera-12.png,0.17448966113286218
109,1260418637___2020-10-01T15-13-48.669997Z___camera-13.png,0,1,1260418637___2020-10-01T15-13-48.669997Z___camera-13.png,0.14652999736777955
110,1260418637___2020-10-01T15-13-48.669997Z___camera-14.png,0,1,1260418637___2020-10-01T15-13-48.669997Z___camera-14.png,0.1625537744755948
